host_time,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_uT,my_uT,mz_uT,temp_C,press_hPa,alt_m
2026-07-01 13:57:21,648822,0.113,-1.016,-0.036,-2.038,-0.015,0.321,-27.65,31.49,18.83,26.60,998.63,122.44
2026-07-01 13:57:21,649037,0.116,-1.015,-0.035,-2.809,0.374,0.344,-27.65,31.17,18.88,26.60,998.52,123.37
2026-07-01 13:57:21,649252,0.113,-1.016,-0.037,-2.252,0.076,0.069,-27.57,30.43,18.56,26.60,998.46,123.87
2026-07-01 13:57:21,649467,0.112,-1.019,-0.034,-2.611,0.313,0.183,-28.03,30.53,18.27,26.60,998.60,122.69
2026-07-01 13:57:22,649682,0.110,-1.023,-0.041,-1.634,0.137,0.565,-27.68,31.04,18.59,26.60,998.63,122.44
2026-07-01 13:57:22,649897,0.114,-1.012,-0.049,-2.260,0.084,0.481,-27.73,31.07,18.19,26.60,998.63,122.44
2026-07-01 13:57:22,650112,0.117,-1.017,-0.032,-2.405,0.229,0.244,-27.52,30.91,18.59,26.60,998.55,123.11
2026-07-01 13:57:22,650327,0.116,-1.014,-0.033,-2.573,0.267,0.313,-27.55,30.96,18.85,26.60,998.63,122.44
2026-07-01 13:57:22,650542,0.119,-1.016,-0.040,-2.061,0.015,0.290,-27.49,31.25,18.24,26.60,998.58,122.86
2026-07-01 13:57:23,650757,0.112,-1.022,-0.035,-2.267,0.244,0.023,-27.65,31.36,18.35,26.60,998.55,123.11
2026-07-01 13:57:23,650972,0.111,-1.016,-0.042,-2.290,0.168,0.473,-27.55,31.60,18.88,26.60,998.60,122.69
2026-07-01 13:57:23,651187,0.113,-1.020,-0.028,-2.374,0.145,0.351,-27.63,31.17,18.16,26.60,998.63,122.44
2026-07-01 13:57:23,651402,0.118,-1.017,-0.037,-2.168,-0.008,0.382,-27.71,31.07,18.45,26.60,998.58,122.86
2026-07-01 13:57:24,651617,0.112,-1.010,-0.029,-2.794,0.260,-0.221,-27.49,30.69,18.24,26.60,998.63,122.44
2026-07-01 13:57:24,651832,0.109,-1.017,-0.040,-1.901,0.015,0.298,-27.23,31.60,18.37,26.60,998.55,123.11
2026-07-01 13:57:24,652047,0.108,-1.000,-0.039,-2.023,0.847,-3.550,-27.36,30.99,18.32,26.60,998.58,122.86
2026-07-01 13:57:24,652262,-0.346,-1.335,-0.210,-0.435,-0.504,-51.031,-27.09,31.17,18.37,26.60,998.63,122.44
2026-07-01 13:57:24,652477,0.656,-1.011,-0.004,-95.611,-124.191,-161.756,-42.19,13.47,10.08,26.60,998.58,122.86
2026-07-01 13:57:25,652692,0.654,-0.293,-0.565,-36.397,-58.710,-80.634,-45.60,-12.64,24.80,26.60,998.52,123.37
2026-07-01 13:57:25,652907,0.779,-0.324,-0.672,-4.313,11.458,-15.771,-42.59,-13.49,29.63,26.60,998.49,123.62
2026-07-01 13:57:25,653122,0.654,-0.281,-0.638,-12.053,13.901,50.374,-42.72,-11.71,29.25,26.60,998.52,123.37
2026-07-01 13:57:25,653337,0.088,-1.600,-0.633,96.000,-250.137,170.412,-49.09,10.93,20.53,26.60,998.58,122.86
2026-07-01 13:57:25,653552,0.074,-1.069,0.107,82.198,33.122,-22.710,-30.13,33.65,14.05,26.60,998.55,123.11
2026-07-01 13:57:26,653767,0.196,-1.041,-0.054,-7.046,21.206,-17.779,-30.56,32.43,14.35,26.60,998.58,122.86
2026-07-01 13:57:26,653982,0.164,-1.040,-0.118,-5.573,7.137,38.130,-29.63,32.45,14.48,26.60,998.52,123.37
2026-07-01 13:57:26,654197,0.129,-1.069,-0.253,-62.580,-93.855,127.725,-27.89,32.75,13.47,26.60,998.49,123.62
2026-07-01 13:57:26,654412,-0.038,-1.118,-0.113,-38.718,-40.641,-6.901,-36.35,37.97,3.49,26.60,998.55,123.11
2026-07-01 13:57:27,654627,0.603,-0.821,0.103,97.260,39.252,-159.053,-51.47,9.07,-5.73,26.60,998.52,123.37
2026-07-01 13:57:27,654842,0.789,-0.189,0.010,69.359,-167.779,-250.137,-21.28,-29.73,-6.00,26.60,998.58,122.86
2026-07-01 13:57:27,655057,0.316,0.373,-0.802,201.221,-100.221,-161.733,18.19,-20.51,27.79,26.60,998.58,122.86
2026-07-01 13:57:27,655272,0.174,0.018,-1.220,-6.527,-13.779,109.908,0.00,-10.43,46.45,26.60,998.52,123.37
2026-07-01 13:57:27,655487,0.161,-0.045,-1.074,-30.969,17.176,10.267,-5.39,-10.24,48.19,26.60,998.43,124.12
2026-07-01 13:57:28,655702,0.167,0.178,-1.045,4.695,-7.672,13.328,-2.35,-11.09,47.49,26.60,998.52,123.37
2026-07-01 13:57:28,655917,0.148,0.062,-1.050,1.916,-2.763,5.603,-2.27,-11.65,46.72,26.60,998.55,123.11
2026-07-01 13:57:28,656132,0.177,0.117,-1.050,-10.000,4.954,-4.435,-2.03,-11.71,46.83,26.60,998.52,123.37
2026-07-01 13:57:28,656347,0.181,0.100,-1.090,-22.985,11.611,6.855,-1.63,-12.32,45.92,26.60,998.58,122.86
2026-07-01 13:57:29,656562,0.203,0.077,-1.025,-15.374,4.855,-0.214,-0.29,-13.33,44.83,26.60,998.63,122.44
2026-07-01 13:57:29,656777,0.221,0.149,-1.025,-7.099,13.611,14.458,1.63,-14.77,43.89,26.60,998.60,122.69
2026-07-01 13:57:29,656992,0.308,0.266,-1.030,-10.267,-3.496,-5.603,0.88,-14.85,43.79,26.60,998.58,122.86
2026-07-01 13:57:29,657207,0.340,0.284,-1.261,-25.420,3.969,-0.084,4.00,-14.83,43.36,26.60,998.60,122.69
2026-07-01 13:57:29,657422,0.163,0.230,-0.974,-53.282,-17.618,-52.870,10.56,-10.51,41.55,26.60,998.52,123.37
2026-07-01 13:57:30,657637,-0.031,0.533,-0.881,-35.809,-2.275,-1.977,18.64,-3.92,40.05,26.60,998.55,123.11
2026-07-01 13:57:30,657852,0.054,0.601,-0.768,0.168,17.511,-3.267,19.09,-2.51,40.19,26.60,998.55,123.11
2026-07-01 13:57:30,658067,0.001,0.343,-0.778,17.969,-19.489,-12.534,15.28,-2.85,42.29,26.60,998.49,123.62
2026-07-01 13:57:30,658282,0.011,0.568,-0.762,-2.573,-6.885,5.061,17.23,-0.32,41.97,26.60,998.46,123.87
2026-07-01 13:57:30,658497,-0.005,0.467,-0.923,-4.885,6.176,-0.450,16.91,-0.93,42.40,26.60,998.43,124.12
2026-07-01 13:57:31,658712,-0.023,0.453,-0.911,7.031,-3.176,5.725,17.01,-1.95,41.76,26.60,998.49,123.62
2026-07-01 13:57:31,658927,-0.120,0.403,-0.635,2.763,25.076,19.359,16.40,-3.15,42.11,26.60,998.49,123.62
2026-07-01 13:57:31,659142,0.404,0.463,-0.872,30.679,20.802,35.687,11.23,-13.73,39.97,26.60,998.58,122.86
2026-07-01 13:57:31,659357,0.331,0.338,-0.909,14.817,23.031,25.137,10.45,-18.43,35.71,26.60,998.49,123.62
2026-07-01 13:57:32,659572,0.429,0.410,-1.043,-1.489,-24.061,24.015,6.05,-20.93,37.41,26.60,998.58,122.86
2026-07-01 13:57:32,659787,0.402,0.336,-0.980,-1.107,2.214,-1.771,3.79,-19.97,38.69,26.60,998.60,122.69
2026-07-01 13:57:32,660002,0.331,0.261,-1.034,-3.237,6.519,6.824,4.16,-20.19,38.80,26.60,998.55,123.11
2026-07-01 13:57:32,660217,0.417,0.327,-0.952,-4.000,0.191,12.443,4.27,-20.99,37.68,26.60,998.55,123.11
2026-07-01 13:57:32,660432,0.422,0.337,-0.932,-12.985,16.168,30.832,3.25,-21.57,37.41,26.60,998.58,122.86
2026-07-01 13:57:33,660647,0.459,0.318,-0.902,5.817,9.366,-4.840,2.11,-23.65,36.27,26.60,998.52,123.37
2026-07-01 13:57:33,660862,0.911,0.107,-0.740,28.153,238.573,5.466,-4.69,-33.36,21.68,26.60,998.55,123.11
2026-07-01 13:57:33,661077,1.356,0.151,0.411,-21.863,170.931,45.901,-5.52,-27.23,-16.80,26.60,998.52,123.37
2026-07-01 13:57:33,661292,0.936,0.224,0.299,1.534,-2.382,-0.664,-5.71,-20.93,-24.08,26.60,998.58,122.86
2026-07-01 13:57:33,661507,0.976,0.170,0.286,-10.595,-4.611,-8.725,-5.31,-21.89,-23.73,26.60,998.60,122.69
2026-07-01 13:57:34,661722,1.032,0.174,0.278,-6.855,-14.542,-0.641,-4.83,-21.49,-23.79,26.60,998.60,122.69
2026-07-01 13:57:34,661937,1.151,0.305,0.181,8.649,-164.725,-26.145,-5.04,-26.93,-17.76,26.60,998.58,122.86
2026-07-01 13:57:34,662152,0.621,0.193,-0.471,68.977,-216.374,-146.718,2.19,-32.35,21.09,26.60,998.55,123.11
2026-07-01 13:57:34,662367,-0.037,-0.051,-1.005,42.366,-76.282,-82.359,3.01,-6.11,48.72,26.60,998.58,122.86
2026-07-01 13:57:35,662582,-0.072,-0.019,-1.118,-29.550,0.107,62.221,2.64,1.52,51.04,26.60,998.52,123.37
2026-07-01 13:57:35,662797,-0.138,0.203,-1.025,-27.656,46.099,60.878,6.05,-1.28,49.09,26.60,998.58,122.86
